"Reference","Value","Internal Part Number","PValue","Populated"
"BT1","1-0000246","1-0000246","CR1220","1"
"C1","1-0000016","1-0000016","4.7nF","1"
"C2","1-0000017","1-0000017","39pF","1"
"C3","1-0000017","1-0000017","39pF","1"
"C4","1-0000007","1-0000007","0.1uF","1"
"C5","1-0000007","1-0000007","0.1uF","1"
"C6","1-0000018","1-0000018","1uF","1"
"C7","1-0000007","1-0000007","0.1uF","1"
"C8","1-0000007","1-0000007","0.1uF","1"
"C9","1-0000007","1-0000007","0.1uF","1"
"C10","1-0000007","1-0000007","0.1uF","1"
"C11","1-0000018","1-0000018","1uF","1"
"C12","1-0000007","1-0000007","0.1uF","1"
"C13","1-0000015","1-0000015","22uF","1"
"C14","1-0000007","1-0000007","0.1uF","1"
"C15","1-0001469","1-0001469","1.5F","1"
"C16","1-0000075","1-0000075","10uF","1"
"C17","1-0000075","1-0000075","10uF","1"
"C18","1-0000738","1-0000738","22nF","1"
"C19","1-0000075","1-0000075","10uF","1"
"D1","1-0000399","1-0000399","1655","1"
"D2","1-0000601","1-0000601","Yellow","1"
"D3","1-0000600","1-0000600","Red","1"
"D4","1-0001468","1-0001468","S1M","1"
"D5","1-0001468","1-0001468","S1M","1"
"D6","1-0001468","1-0001468","S1M","1"
"D7","1-0001466","1-0001466","BZV55","1"
"FID1","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"FID2","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"H1","Imperial4","0-0000000","#4","0"
"H2","Imperial4","0-0000000","#4","0"
"H3","Imperial4","0-0000000","#4","0"
"H4","Imperial4","0-0000000","#4","0"
"J1","1-0001506","1-0001506","Serial","1"
"J2","1-0001205","1-0001205","Qwiic","1"
"J3","NP_Conn_01x03","0-0000000","NP_Conn_01x03","0"
"J4","NP_Conn_01x03","0-0000000","NP_Conn_01x03","0"
"J5","1-0000526","1-0000526","EXT1","1"
"J6","1-0000526","1-0000526","EXT2","1"
"J7","1-0001788","1-0001788","Mini B","1"
"J8","1-0000790","1-0000790","10Pos","1"
"J9","1-0000190","1-0000190","DM3CS","1"
"J10","NP_Conn_01x02_Relief","0-0000000","9V Batt","0"
"J11","NP_Conn_01x02_Relief","0-0000000","Switch","0"
"PCB1","barepcb","3-0000285","Bare PCB","1"
"Q1","1-0001787","1-0001787","MBT3904","1"
"Q2","1-0000340","1-0000340","BSS138P,215","1"
"Q3","1-0000340","1-0000340","BSS138P,215","1"
"Q4","1-0000505","1-0000505","SI2323","1"
"R1","1-0000009","1-0000009","1M","1"
"R2","1-0000679","1-0000679","470","1"
"R3","1-0000679","1-0000679","470","1"
"R4","1-0000012","1-0000012","27","1"
"R5","1-0000012","1-0000012","27","1"
"R6","1-0000006","1-0000006","0R0","1"
"R7","1-0000679","1-0000679","470","1"
"R8","1-0000010","1-0000010","10k","1"
"R9","1-0000010","1-0000010","10k","1"
"R10","1-0000008","1-0000008","150","1"
"R11","1-0000008","1-0000008","150","1"
"R12","1-0000013","1-0000013","1k","1"
"R13","1-0000013","1-0000013","1k","1"
"R14","1-0000006","1-0000006","0R0","1"
"R15","1-0000006","1-0000006","0R0","1"
"R16","1-0000010","1-0000010","10k","1"
"R17","1-0000010","1-0000010","10k","1"
"R18","1-0000010","1-0000010","10k","1"
"R19","1-0000006","1-0000006","NP","0"
"R20","1-0000027","1-0000027","4.7k","1"
"R21","1-0000027","1-0000027","4.7k","1"
"R22","1-0000010","1-0000010","10k","1"
"R23","1-0000013","1-0000013","1k","1"
"R24","1-0000013","1-0000013","1k","1"
"R25","1-0000006","1-0000006","NP","0"
"R26","1-0000006","1-0000006","0R0","1"
"R27","1-0000006","1-0000006","NP","0"
"R28","1-0000006","1-0000006","0R0","1"
"R29","1-0000006","1-0000006","NP","0"
"R30","1-0000006","1-0000006","0R0","1"
"R31","1-0000006","1-0000006","NP","0"
"R32","1-0000006","1-0000006","0R0","1"
"R33","1-0000013","1-0000013","1k","1"
"R34","1-0000013","1-0000013","1k","1"
"R35","1-0000174","1-0000174","100k","1"
"R36","1-0000174","1-0000174","100k","1"
"R37","1-0001470","1-0001470","50","1"
"R38","1-0000174","1-0000174","100k","1"
"SW1","1-0000680","1-0000680","Blue","1"
"U1","1-0001505","1-0001505","ILD213T","1"
"U2","1-0001471","1-0001471","BME688","1"
"U3","1-0000779","1-0000779","FT231XS","1"
"U4","1-0000446","1-0000446","SAM-M8Q-0-10","1"
"U5","1-0001703","1-0001703","ESP32","1"
"U6","1-0001649","1-0001649","TR05S05","1"
"U7","1-0000658","1-0000658","MIC5219","1"
